X1;Y6;Y8;Y16
7,69;1990;1957;2001
7,7;2009;1972;2001
7,71;1989;1977;2001
7,72;1996;2137;2001
7,73;2011;2018;2001
7,74;1974;1994;2001
7,75;1981;2036;2001
7,76;2062;2015;2001
7,77;2014;1985;2001
7,78;1939;2014;2001
7,79;1984;1963;2001
7,8;2010;1963;2001
7,81;1972;2015;2001
7,82;1988;1986;2001
7,83;1976;1994;2001
7,84;1985;2001;2001
7,85;1957;2001;2001
7,86;1990;1987;2001
7,87;1992;1974;2001
7,88;2005;1925;2001
7,89;1986;1989;2001
7,9;1992;1975;2001
7,91;2006;2064;2001
7,92;1999;2009;2001
7,93;1944;2016;2001
7,94;2022;1948;2001
7,95;2007;1986;2001
7,96;1984;2010;2001
7,97;1990;1998;2001
7,98;2002;2006;2001
7,99;2019;2002;2001
8;2027;1991;2001
8,01;1981;2003;2001
8,02;1982;2007;2001
8,03;1990;1970;2001
8,04;1982;2012;2001
8,05;1943;2054;2001
8,06;1986;2009;2001
8,07;1988;2030;2001
8,08;2028;2019;2001
8,09;1989;2004;2001
8,1;2000;1966;2001
8,11;2007;1985;2001
8,12;1995;1983;2001
8,13;2004;1997;2001
8,14;1972;2023;2001
8,15;1986;2086;2001
8,16;2002;1960;2001
8,17;1983;1999;2001
8,18;1948;2088;2001
8,19;2006;1970;2001
8,2;2024;1998;2001
8,21;2126;2009;2001
8,22;1999;2002;2001
8,23;1998;2002;2001
8,24;1956;2081;2001
8,25;2009;2051;2001
8,26;1982;2005;2001
8,27;1946;2047;2001
8,28;2005;1987;2001
8,29;1987;2056;2001
8,3;2029;1992;2001
8,31;1992;1999;2001
8,32;2025;2060;2001
8,33;2010;2012;2001
8,34;2030;1982;2001
8,35;2012;1974;2001
8,36;2004;2010;2001
8,37;1987;1994;2001
8,38;1976;2011;2001
8,39;1964;2009;2001
8,4;2003;1994;2001
8,41;2023;1997;2001
8,42;2029;1992;2001
8,43;2003;1973;2001
8,44;1995;1993;2001
8,45;2006;2006;2001
8,46;2025;2085;2001
8,47;1982;1984;2001
8,48;1955;2001;2001
8,49;2007;1993;2001
8,5;1987;1989;2001
8,51;2014;2022;2001
8,52;1976;1998;2001
8,53;1983;1990;2001
8,54;1960;1998;2001
8,55;2004;2026;2001
8,56;2014;1973;2001
8,57;2002;1996;2001
8,58;1982;1992;2001
8,59;2041;2008;2001
8,6;2025;2027;2001
8,61;2005;1988;2001
8,62;1994;1999;2001
8,63;1995;2008;2001
8,64;2038;1998;2001
8,65;1988;1990;2001
8,66;1988;1983;2001
8,67;1995;1992;2001
8,68;1986;1991;2001
8,69;2038;1979;2001
8,7;2037;1993;2001
8,71;1974;2023;2001
8,72;1997;2006;2001
8,73;2026;1996;2001
8,74;1992;2006;2001
8,75;2000;1957;2001
8,76;2050;1983;2001
8,77;2067;1997;2001
8,78;2019;2155;2001
8,79;2052;1938;2001
8,8;1988;1994;2001
8,81;1936;2111;2001
8,82;2078;1993;2001
8,83;1996;1945;2001
8,84;1988;2017;2001
8,85;2006;1960;2001
8,86;2001;1991;2001
8,87;2009;2008;2001
8,88;1998;1977;2001
8,89;1979;2103;2001
8,9;1996;1975;2001
8,91;2011;1988;2001
8,92;1991;1992;2001
8,93;1980;2003;2001
8,94;1998;1986;2001
8,95;1983;1993;2001
8,96;2051;2060;2001
8,97;2051;1996;2001
8,98;2030;1994;2001
8,99;1994;2004;2001
9;2108;2007;2001
9,01;1962;2005;2001
9,02;1987;2010;2001
9,03;2001;1992;2001
9,04;1920;1980;2001
9,05;1982;2095;2001
9,06;2026;2035;2001
9,07;1997;1987;2001
9,08;1988;1978;2001
9,09;2003;1983;2001
9,1;2001;2068;2001
9,11;2000;2007;2001
9,12;2005;2006;2001
9,13;1975;1958;2001
9,14;1990;1944;2001
9,15;2039;1996;2001
9,16;1957;1954;2001
9,17;1961;2011;2001
9,18;2016;2000;2001
9,19;2064;2125;2001
9,2;1958;2006;2001
9,21;2016;1999;2001
9,22;1998;1996;2001
9,23;1992;2024;2001
9,24;2019;2022;2001
9,25;2037;2066;2001
9,26;1978;2006;2001
9,27;2015;1964;2001
9,28;1966;2031;2001
9,29;1986;2145;2001
9,3;1964;1984;2001
9,31;2028;1982;2001
9,32;2006;2058;2001
9,33;2016;1970;2001
9,34;1982;1997;2001
9,35;1989;2007;2001
9,36;2013;1984;2001
9,37;1985;1982;2001
9,38;2005;2028;2001
9,39;2012;1998;2001
9,4;2000;1971;2001
9,41;1951;1981;2001
9,42;2004;1980;2001
9,43;1996;1943;2001
9,44;2008;1974;2001
9,45;2023;2003;2001
9,46;2009;2010;2001
9,47;1987;2337;2001
9,48;2018;1924;2001
9,49;1999;1996;2001
9,5;1976;1985;2001
9,51;2012;1997;2001
9,52;2022;2000;2001
9,53;1977;1995;2001
9,54;1999;1991;2001
9,55;2007;1990;2001
9,56;1997;1990;2001
9,57;2003;2009;2001
9,58;2021;1965;2001
9,59;1974;1966;2001
9,6;2039;1986;2001
9,61;2000;2007;2001
9,62;1994;1988;2001
9,63;1992;1990;2001
9,64;1962;1982;2001
9,65;2068;1985;2001
9,66;1999;1960;2001
9,67;2007;1948;2001
9,68;1979;1971;2001
9,69;1970;1994;2001
9,7;2062;1954;2001
9,71;1996;1980;2001
9,72;2021;2013;2001
9,73;1996;1968;2001
9,74;1961;1983;2001
9,75;2008;1990;2001
9,76;2025;1998;2001
9,77;1966;1946;2001
9,78;2018;2047;2001
9,79;1997;1967;2001
9,8;1987;1978;2001
9,81;2019;1990;2001
9,82;2003;2005;2001
9,83;2015;2001;2001
9,84;2010;1978;2001
9,85;2009;1967;2001
9,86;1981;1975;2001
9,87;2007;1983;2001
9,88;2003;2000;2001
9,89;1983;1971;2001
9,9;1994;2005;2001
9,91;2015;1978;2001
9,92;2016;2023;2001
9,93;1992;2035;2001
9,94;2024;1996;2001
9,95;1970;1984;2001
9,96;2002;1983;2001
9,97;2023;1961;2001
9,98;1993;1991;2001
9,99;1985;2002;2001
10;2017;2022;2001
10,01;2005;2001;2001
10,02;1947;2029;2001
10,03;2012;1990;2001
10,04;2002;2079;2001
10,05;1992;2001;2001
10,06;1958;1989;2001
10,07;2016;1981;2001
10,08;1995;1981;2001
10,09;2018;2006;2001
10,1;1994;1999;2001
10,11;1965;2034;2001
10,12;2007;1989;2001
10,13;1994;1995;2001
10,14;1958;2002;2001
10,15;2013;1936;2001
10,16;1987;1994;2001
10,17;1974;2034;2001
10,18;2024;1998;2001
10,19;2003;2112;2001
10,2;1983;1974;2001
10,21;2026;2020;2001
10,22;2035;1987;2001
10,23;2012;2034;2001
10,24;2010;1987;2001
10,25;1987;1987;2001
10,26;2001;2013;2001
10,27;1984;1988;2001
10,28;1985;1981;2001
10,29;2006;1999;2001
10,3;1988;1997;2001
10,31;2002;2001;2001
10,32;2008;1983;2001
10,33;2012;1984;2001
10,34;2003;1996;2001
10,35;1998;1983;2001
10,36;1992;1975;2001
10,37;2097;1994;2001
10,38;1988;1990;2001
10,39;2029;1986;2001
10,4;2004;1982;2001
10,41;2014;2016;2001
10,42;2018;2024;2001
10,43;2012;1954;2001
10,44;2008;1966;2001
10,45;2062;2112;2001
10,46;1990;1931;2001
10,47;1946;2018;2001
10,48;2013;1948;2001
10,49;1991;1975;2001
10,5;1990;1981;2001
10,51;1996;1955;2001
10,52;1991;2020;2001
10,53;2107;1996;2001
10,54;1972;2002;2001
10,55;1994;1987;2001
10,56;2016;1979;2001
10,57;2006;1980;2001
10,58;2055;1968;2001
10,59;1996;1966;2001
10,6;2004;1997;2001
10,61;1983;2043;2001
10,62;2002;2015;2001
10,63;2013;1996;2001
10,64;1992;1999;2001
10,65;1993;2016;2001
10,66;2010;2001;2001
10,67;1989;1960;2001
10,68;1981;1945;2001
10,69;1980;2026;2001
10,7;2099;1980;2001
10,71;1995;1996;2001
10,72;1986;1963;2001
10,73;2005;1994;2001
10,74;1985;1968;2001
10,75;1972;2020;2001
10,76;2002;2001;2001
